omega_san,omega_yak,yak_FB,mel_FB,CG,symbol,seqnames,start,end,length,type
0.4,0.666666667,FBgn0231277,FBgn0015714,CG10241,Cyp6a17,2R,14873953,14875739,1787,genome
0.4,0.666666667,FBgn0231277,FBgn0033978,CG10242,Cyp6a23,2R,14875829,14877654,1826,genome
2,0.75,FBgn0236908,FBgn0036818,CG14074,CG14074,3L,18866225,18867431,1207,genome
NA,NA,FBgn0238851,FBgn0010387,CG8627,Dbi,3L,7131863,7133463,1601,genome
0.428571429,0.75,FBgn0230440,FBgn0005617,CG10385,msl-1,2L,18683720,18688800,5081,genome
1,0,FBgn0233535,FBgn0052576,CG32576,CG32576,X,16285953,16288533,2581,genome
0,0,FBgn0237670,FBgn0052485,CG32485,CG32485,3L,3050323,3051765,1443,genome
0.571428571,1.428571429,FBgn0230690,FBgn0032964,CG11630,CG11630,2L,21782046,21784065,2020,genome
0.333333333,0,FBgn0239217,FBgn0027580,CG1516,CG1516,2R,9850703,9861543,10841,genome
0,0,FBgn0234538,FBgn0000346,CG1618,comt,X,13259021,13262488,3468,genome
0.714285714,0.058823529,FBgn0235698,FBgn0000547,CG12676,ed,2L,4031377,4115749,84373,genome
3,1,FBgn0243207,FBgn0038012,CG10013,CG10013,3R,12323521,12325210,1690,genome
0,0.2,FBgn0228269,FBgn0039732,CG15525,CG15525,3R,29996961,29997676,716,genome
NA,0,FBgn0236189,FBgn0261630,CG42713,CG42713,2L,8891440,8892180,741,genome
NA,0,FBgn0236189,FBgn0260645,CG42537,CG42537,3R,6377797,6378233,437,genome
0.333333333,0.333333333,FBgn0231392,FBgn0034598,CG4266,CG4266,2R,21161713,21168659,6947,genome
0.125,0.5,FBgn0229388,FBgn0034840,CG3124,CG3124,2R,23282743,23284113,1371,genome
0.5,0.125,FBgn0229612,FBgn0034160,CG5550,CG5550,2R,16816589,16817577,989,genome
0,0.285714286,FBgn0239453,FBgn0036485,CG6869,FucTA,3L,15147137,15154395,7259,genome
0.130434783,0.147058824,FBgn0237796,FBgn0035704,CG10144,CG10144,3L,6491230,6495297,4068,genome
NA,NA,FBgn0242752,FBgn0044812,CG31508,TotC,3R,20872988,20873580,593,genome
NA,NA,FBgn0242752,FBgn0028396,CG31509,TotA,3R,20871036,20871700,665,genome
NA,NA,FBgn0242752,FBgn0038838,CG5609,TotB,3R,20873938,20874522,585,genome
0.5,4,FBgn0240406,FBgn0085246,CG34217,CG34217,2R,8227990,8228727,738,genome
0,0,FBgn0068543,FBgn0010217,CG11154,ATPsyn-beta,4,1031484,1034917,3434,genome
1.090909091,0.230769231,FBgn0241395,FBgn0038279,CG3837,Sdr,3R,14918628,14923083,4456,genome
1,1,FBgn0230204,FBgn0033732,CG13157,CG13157,2R,12416044,12418231,2188,genome
0.25,0.333333333,FBgn0229085,FBgn0015000,CG3469,betaggt-I,2L,4945579,4948324,2746,genome
0,0.333333333,FBgn0236073,FBgn0028527,CG18507,CG18507,2L,13665525,13672967,7443,genome
0.1,0.3,FBgn0240914,FBgn0039544,CG12877,CG12877,3R,27707100,27710857,3758,genome
0.333333333,1.2,FBgn0231847,FBgn0050462,CG9002,ste24c,2R,16995991,16998594,2604,genome
1,0,FBgn0242865,FBgn0250732,CG33546,gfzf,3R,7145880,7150968,5089,genome
3,NA,FBgn0229496,FBgn0014865,CG8175,Mtk,2R,15408846,15409113,268,genome
0.25,0.333333333,FBgn0238974,FBgn0036059,CG8104,nudE,3L,9898703,9903031,4329,genome
3,0.666666667,FBgn0020062,FBgn0004143,CG14426,nullo,X,7049476,7050321,846,genome
2,1.5,FBgn0231967,FBgn0050178,CG30178,CG30178,2R,23986615,23987308,694,genome
0,0,FBgn0239809,FBgn0262737,CG7437,mub,3L,21844788,21932702,87915,genome
0,0,FBgn0068006,FBgn0026316,CG5788,Ubc10,2R,17788412,17789410,999,genome
NA,NA,FBgn0230560,FBgn0032366,CG14930,CG14930,2L,11520358,11521285,928,genome
0,0.166666667,FBgn0229281,FBgn0260775,CG42567,DnaJ-60,2R,24157668,24159312,1645,genome
NA,NA,FBgn0232274,FBgn0031629,CG3244,Clect27,2L,4796600,4801923,5324,genome
1,1,FBgn0067439,FBgn0031547,CG3212,Sr-CIV,2L,3522521,3524056,1536,genome
1,1,FBgn0067439,FBgn0014033,CG4099,Sr-CI,2L,4121702,4124153,2452,genome
1,1,FBgn0067439,FBgn0020377,CG8856,Sr-CII,2R,12208893,12212155,3263,genome
0.388888889,0.305555556,FBgn0234794,FBgn0003366,CG18085,sev,X,11071441,11086299,14859,genome
1,0,FBgn0236760,FBgn0010422,CG3710,TfIIS,2L,15058919,15060757,1839,genome
0.25,0.25,FBgn0227924,FBgn0027083,CG31322,Aats-met,3R,14251383,14259991,8609,genome
0,0.3125,FBgn0240802,FBgn0039387,CG5959,MCO3,3R,25897476,25899744,2269,genome
0,2,FBgn0230818,FBgn0032654,CG15147,CG15147,2L,17625746,17626381,636,genome
0,1,FBgn0233186,FBgn0030826,CG12995,CG12995,X,17209368,17209997,630,genome
0.12,0.085365854,FBgn0235152,FBgn0013809,CG7092,Dhc16F,X,18064483,18078472,13990,genome
0,1,FBgn0239335,FBgn0259678,CG42347,sqa,2R,9716348,9748121,31774,genome
0,0,FBgn0238395,FBgn0035181,CG9205,CG9205,3L,1034697,1036298,1602,genome
NA,0,FBgn0068218,FBgn0261599,CG8495,RpS29,3R,9778042,9779528,1487,genome
0,0,FBgn0234674,FBgn0030653,CG7860,CG7860,X,15568993,15570369,1377,genome
0,0,FBgn0242623,FBgn0031729,CG12511,CG12511,2L,5678582,5679499,918,genome
0.166666667,0.25,FBgn0236528,FBgn0013307,CG8721,Odc1,2R,8004824,8006672,1849,genome
1.4,0,FBgn0237040,FBgn0037025,CG11451,Spc105R,3L,20800410,20806853,6444,genome
0.5,0,FBgn0237551,FBgn0036139,CG6216,CG6216,3L,11149578,11150785,1208,genome
0,0,FBgn0233800,FBgn0040066,CG17437,wds,X,2585980,2588217,2238,genome
0,NA,FBgn0233301,FBgn0085367,CG34338,CG34338,X,7768737,7769161,425,genome
1.666666667,1.125,FBgn0228505,FBgn0039395,CG14546,CG14546,3R,25921042,25922634,1593,genome
3,0.333333333,FBgn0229728,FBgn0034326,CG18540,CG18540,2R,18299317,18300072,756,genome
1,1,FBgn0238152,FBgn0053696,CG33696,CG33696,3L,9644109,9659433,15325,genome
0.944444444,0.931034483,FBgn0242259,FBgn0038651,CG14299,CG14299,3R,18750436,18758873,8438,genome
0,NA,FBgn0234299,FBgn0004687,CG3201,Mlc-c,X,5619136,5622539,3404,genome
0.2,1.5,FBgn0235941,FBgn0085191,CG34162,CG34162,2L,11531820,11533756,1937,genome
0.666666667,0.133333333,FBgn0243447,FBgn0038274,CG7262,Nup93-2,3R,14895703,14898372,2670,genome
1.25,0.727272727,FBgn0237416,FBgn0052107,CG32107,CG32107,3L,12857282,12861305,4024,genome
0,0.2,FBgn0230931,FBgn0032769,CG10750,CG10750,2L,19300255,19301600,1346,genome
NA,0.666666667,FBgn0236644,FBgn0050000,CG30000,GstT1,2R,9605988,9607184,1197,genome
NA,0.666666667,FBgn0236644,FBgn0050005,CG30005,GstT2,2R,9607292,9608350,1059,genome
NA,0,FBgn0068116,FBgn0015268,CG5330,Nap1,2R,23905175,23907294,2120,genome
0.888888889,0.4,FBgn0241163,FBgn0051156,CG31156,CG31156,3R,22608670,22613656,4987,genome
1,1.2,FBgn0231164,FBgn0032271,CG7329,CG7329,2L,10629352,10638471,9120,genome
0.125,0,FBgn0230096,FBgn0000251,CG1759,cad,2L,20770731,20783135,12405,genome
0.2,0.272727273,FBgn0231731,FBgn0034062,CG8388,CG8388,2R,16009401,16011438,2038,genome
1,4,FBgn0238274,FBgn0035170,CG12191,dpr20,3L,852720,857248,4529,genome
0.2,0.222222222,FBgn0228738,FBgn0039804,CG15544,CG15544,3R,30827819,30842034,14216,genome
NA,0,FBgn0230205,FBgn0033734,CG8520,CG8520,2R,12422931,12425459,2529,genome
0,0,FBgn0231619,FBgn0034243,CG6501,Ns2,2R,17565779,17568456,2678,genome
1.25,0.428571429,FBgn0234057,FBgn0040363,CG11384,CG11384,X,1173877,1176035,2159,genome
0.333333333,0,FBgn0242974,FBgn0037657,CG11990,hyx,3R,9038760,9042349,3590,genome
NA,1,FBgn0234175,FBgn0024362,CG11412,CG11412,X,1342106,1344770,2665,genome
0.333333333,0.545454545,FBgn0231054,FBgn0033819,CG4714,CG4714,2R,13251852,13254337,2486,genome
0.142857143,1.4,FBgn0231278,FBgn0015714,CG10241,Cyp6a17,2R,14873953,14875739,1787,genome
0.142857143,1.4,FBgn0231278,FBgn0033978,CG10242,Cyp6a23,2R,14875829,14877654,1826,genome
0.333333333,0.333333333,FBgn0235826,FBgn0051910,CG31910,CG31910,2L,6744663,6745622,960,genome
0,0.153846154,FBgn0232095,FBgn0002938,CG5125,ninaC,2L,7377702,7384344,6643,genome
0,0,FBgn0228040,FBgn0027497,CG1098,Madm,3R,5742510,5746862,4353,genome
0,0.101449275,FBgn0228627,FBgn0039214,CG5794,puf,3R,24635270,24650043,14774,genome
0.1,0.1,FBgn0237914,FBgn0261526,CG42576,NT1,3L,4501652,4508433,6782,genome
0.5,1,FBgn0235551,FBgn0031412,CG16995,CG16995,2L,2307948,2308872,925,genome
NA,0,FBgn0239218,FBgn0036382,CG13737,CG13737,3L,13878994,13883056,4063,genome
NA,1,FBgn0232096,FBgn0039929,CG11076,CG11076,4,1029711,1031757,2047,genome
0.2,0.071428571,FBgn0243083,FBgn0262717,CG43161,Skeletor,3R,10686943,10696270,9328,genome
NA,NA,FBgn0235299,FBgn0040850,CG15210,CG15210,X,10839230,10839895,666,genome
0.125,0.421052632,FBgn0236191,FBgn0085427,CG34398,CG34398,2L,8898786,8933594,34809,genome
1.25,NA,FBgn0238505,FBgn0028856,CG18063,CG18063,2L,15957858,15959431,1574,genome
0,0.2,FBgn0230321,FBgn0032864,CG2493,CG2493,2L,20461585,20463444,1860,genome
0.8,6,FBgn0235699,FBgn0020376,CG31962,Sr-CIII,2L,4120343,4121627,1285,genome
0.266666667,0.363636364,FBgn0233039,FBgn0030109,CG12121,CG12121,X,9228796,9232378,3583,genome
0.333333333,NA,FBgn0233419,FBgn0031040,CG14210,CG14210,X,19616196,19616825,630,genome
0,0,FBgn0232097,FBgn0039930,CG11077,CG11077,4,1028675,1029361,687,genome
0,0,FBgn0241284,FBgn0037358,CG2185,elm,3R,5652640,5654861,2222,genome
0.5,0.076923077,FBgn0237671,FBgn0035392,CG1271,CG1271,3L,3052514,3054906,2393,genome
1,0,FBgn0242510,FBgn0265082,CG44193,Cdep,3R,4910552,4945576,35025,genome
0,0,FBgn0068326,FBgn0029868,CG3446,CG3446,X,6349324,6350401,1078,genome
NA,NA,FBgn0242132,FBgn0265606,CG17268,Prosalpha4T1,3R,20748184,20749074,891,genome
1.5,NA,FBgn0240581,FBgn0033249,CG11191,CG11191,2R,8000490,8002120,1631,genome
0.181818182,0.153846154,FBgn0232098,FBgn0025741,CG11081,PlexA,4,1009895,1027101,17207,genome
NA,NA,FBgn0239691,FBgn0261341,CG8756,verm,3L,19690033,19695260,5228,genome
0.5,1,FBgn0231503,FBgn0031811,CG13982,CG13982,2L,6412315,6415335,3021,genome
NA,0,FBgn0229977,FBgn0051858,CG31858,t-cup,2L,12496616,12497333,718,genome
0.8,0,FBgn0234415,FBgn0024998,CG2685,CG2685,X,2711756,2713960,2205,genome
0.65,0.368421053,FBgn0233932,FBgn0259818,CG42399,CG42399,2L,144231,153300,9070,genome
1.333333333,1.4,FBgn0232100,FBgn0052016,CG32016,4E-T,4,951542,958392,6851,genome
0,0,FBgn0228387,FBgn0039558,CG4980,BCAS2,3R,27921283,27922356,1074,genome
1.857142857,1.111111111,FBgn0232909,FBgn0031139,CG11227,CG11227,X,20930972,20933559,2588,genome
0.666666667,0.666666667,FBgn0237172,FBgn0261682,CG42729,CG42729,3L,15526910,15527516,607,genome
1.5,0.375,FBgn0229389,FBgn0003009,CG3134,ord,2R,23271257,23275536,4280,genome
0,0,FBgn0234908,FBgn0040929,CG12659,CG12659,X,8590775,8591729,955,genome
0.047619048,0.103448276,FBgn0236761,FBgn0000317,CG7595,ck,2L,15044963,15057862,12900,genome
1.6,0.4,FBgn0232101,FBgn0023213,CG10811,eIF4G,4,915297,930715,15419,genome
1.142857143,0.272727273,FBgn0230691,FBgn0051612,CG31612,CG31612,2L,21762314,21795447,33134,genome
0.125,0,FBgn0233536,FBgn0040207,CG13956,kat80,X,16267007,16276180,9174,genome
0.333333333,0,FBgn0068433,FBgn0039203,CG13618,CG13618,3R,24524794,24527533,2740,genome
0,0.095238095,FBgn0238852,FBgn0023001,CG8624,melt,3L,7134516,7143074,8559,genome
1,0.5,FBgn0068007,FBgn0250837,CG4584,dUTPase,2L,11011312,11012135,824,genome
1,NA,FBgn0240418,FBgn0033275,CG14756,CG14756,2R,8204888,8205706,819,genome
0,0.4,FBgn0236075,FBgn0028848,CG7311,CG7311,2L,13708215,13710583,2369,genome
0.666666667,0.75,FBgn0241396,FBgn0038280,CG14861,CG14861,3R,15014770,15016034,1265,genome
0.6,0,FBgn0240696,FBgn0083986,CG34150,CG34150,3R,24814262,24814930,669,genome
0.055555556,0.1,FBgn0241040,FBgn0039709,CG31009,Cad99C,3R,29841657,29854699,13043,genome
0.571428571,1,FBgn0232648,FBgn0053125,CG33125,CG33125,2L,2648360,2652414,4055,genome
NA,1,FBgn0239099,FBgn0040816,CG12521,CG12521,3L,11847383,11847803,421,genome
0.6,1,FBgn0067440,FBgn0019929,CG2045,Ser7,X,9865233,9867070,1838,genome
0.666666667,0.333333333,FBgn0228155,FBgn0053721,CG33721,CG33721,3R,22331069,22331801,733,genome
0,NA,FBgn0238615,FBgn0052282,CG32282,Drsl4,3L,3315620,3315942,323,genome
0,NA,FBgn0238615,FBgn0052283,CG32283,Drsl3,3L,3314996,3315355,360,genome
1.625,3,FBgn0232103,FBgn0025726,CG2999,unc-13,4,867824,912331,44508,genome
0.5,NA,FBgn0242866,FBgn0037477,CG14610,CG14610,3R,7143729,7144295,567,genome
0.4,0.333333333,FBgn0230441,FBgn0015553,CG10387,tos,2L,18679631,18682075,2445,genome
0,0,FBgn0243332,FBgn0000454,CG9285,Dip-B,3R,13782288,13785676,3389,genome
0,NA,FBgn0068117,FBgn0086904,CG8759,Nacalpha,2R,12759693,12760999,1307,genome
1.666666667,1.333333333,FBgn0233668,FBgn0030551,CG11674,CG11674,X,14224647,14225879,1233,genome
0,1,FBgn0229850,FBgn0035334,CG8993,CG8993,3L,2372199,2372876,678,genome
0,1,FBgn0229850,FBgn0034472,CG8517,CG8517,2R,19714076,19714868,793,genome
0.238095238,0.052631579,FBgn0236416,FBgn0028887,CG3491,CG3491,2L,14924590,14930565,5976,genome
1,0,FBgn0233302,FBgn0052718,CG32718,CG32718,X,7778205,7779370,1166,genome
0,0,FBgn0234795,FBgn0030260,CG1537,CG1537,X,11062027,11063170,1144,genome
0,0,FBgn0234539,FBgn0030465,CG15743,CG15743,X,13285707,13287741,2035,genome
1,0.25,FBgn0236909,FBgn0036819,CG6856,Dysb,3L,18867771,18869219,1449,genome
0.076923077,0,FBgn0239454,FBgn0036487,CG6876,Prp31,3L,15159100,15161138,2039,genome
0,0.285714286,FBgn0229087,FBgn0031655,CG3753,Marcal1,2L,4955509,4958292,2784,genome
0,0,FBgn0233801,FBgn0001404,CG9659,egh,X,2588503,2599111,10609,genome
NA,NA,FBgn0236302,FBgn0032230,CG13139,lft,2L,10364471,10366410,1940,genome
1,0.25,FBgn0238976,FBgn0085385,CG34356,CG34356,3L,9908120,9967298,59179,genome
1,0,FBgn0233187,FBgn0030823,CG8918,CG8918,X,17200726,17202598,1873,genome
0.75,0.5,FBgn0229613,FBgn0085488,CG34459,CG34459,2R,16824664,16826648,1985,genome
0.75,0.5,FBgn0229613,FBgn0085489,CG34460,CG34460,2R,16826872,16827755,884,genome
0,0.25,FBgn0241164,FBgn0014949,CG5264,btn,3R,22586149,22586625,477,genome
NA,NA,FBgn0237042,FBgn0037024,CG4365,CG4365,3L,20798645,20800081,1437,genome
0.210526316,0.272727273,FBgn0238725,FBgn0035574,CG32239,RhoGEF64C,3L,4692783,4796253,103471,genome
NA,NA,FBgn0242753,FBgn0044812,CG31508,TotC,3R,20872988,20873580,593,genome
NA,NA,FBgn0242753,FBgn0028396,CG31509,TotA,3R,20871036,20871700,665,genome
NA,NA,FBgn0242753,FBgn0038838,CG5609,TotB,3R,20873938,20874522,585,genome
0.166666667,0,FBgn0235153,FBgn0030891,CG7098,dik,X,18085761,18088418,2658,genome
NA,1,FBgn0236645,FBgn0050000,CG30000,GstT1,2R,9605988,9607184,1197,genome
NA,1,FBgn0236645,FBgn0050005,CG30005,GstT2,2R,9607292,9608350,1059,genome
0.1,0.133333333,FBgn0231968,FBgn0034950,CG3105,Pask,2R,23988738,23992049,3312,genome
0,0.1,FBgn0241520,FBgn0038436,CG14886,Gyc-89Db,3R,16477110,16481070,3961,genome
0,0.1,FBgn0241520,FBgn0038435,CG14885,Gyc-89Da,3R,16472601,16475477,2877,genome
0.8,1.4,FBgn0232104,FBgn0039936,CG11148,CG11148,4,853716,867025,13310,genome
NA,0.5,FBgn0230819,FBgn0032652,CG6870,CG6870,2L,17591315,17592299,985,genome
0,2,FBgn0235943,FBgn0032371,CG4983,CG4983,2L,11652448,11654164,1717,genome
NA,0,FBgn0242382,FBgn0087005,CG10233,rtp,3R,5236092,5237315,1224,genome
0.5,0.1875,FBgn0235827,FBgn0031854,CG11323,TTLL3A,2L,6736364,6740188,3825,genome
0,0.2,FBgn0068219,FBgn0037671,CG8444,VhaM8.9,3R,9260638,9262590,1953,genome
0.428571429,0.421052632,FBgn0231393,FBgn0050389,CG30389,CG30389,2R,21148265,21160545,12281,genome
0.1,0.0625,FBgn0243085,FBgn0027568,CG5366,Cand1,2L,10358134,10362707,4574,genome
0.4,0.5,FBgn0237417,FBgn0036317,CG10948,CG10948,3L,12844254,12850117,5864,genome
0,1,FBgn0238398,FBgn0035186,CG13912,CG13912,3L,1189588,1190472,885,genome
1,0,FBgn0233420,FBgn0031044,CG14211,MKP-4,X,19623114,19625729,2616,genome
1,0,FBgn0230098,FBgn0032886,CG9328,CG9328,2L,20797715,20814331,16617,genome
1,0.5,FBgn0236529,FBgn0013308,CG8719,Odc2,2R,8007246,8009062,1817,genome
2.6,0.8,FBgn0238028,FBgn0033065,CG8345,Cyp6w1,2R,6173684,6176195,2512,genome
0.5,0.2,FBgn0240917,FBgn0005659,CG5583,Ets98B,3R,27736538,27748366,11829,genome
1,0,FBgn0234300,FBgn0029778,CG3208,RhoGAP5A,X,5616572,5618806,2235,genome
0.5,NA,FBgn0232105,FBgn0039937,CG11152,fd102C,4,836986,844529,7544,genome
1,0,FBgn0231165,FBgn0033658,CG8986,TwdlBeta,2R,11862537,11863252,716,genome
0.5,0.666666667,FBgn0237915,FBgn0035555,CG13720,CG13720,3L,4498856,4500500,1645,genome
1,0.666666667,FBgn0241646,FBgn0038014,CG10041,CG10041,3R,12350815,12352079,1265,genome
0,0,FBgn0231732,FBgn0034061,CG8386,CG8386,2R,16006893,16007667,775,genome
0,0,FBgn0228739,FBgn0003720,CG1378,tll,3R,30852315,30854400,2086,genome
0.4,0.111111111,FBgn0228270,FBgn0039730,CG7903,CG7903,3R,29993475,29995231,1757,genome
1,3,FBgn0230933,FBgn0032770,CG13086,CG13086,2L,19364375,19365470,1096,genome
NA,0,FBgn0068544,FBgn0043012,CG6056,AP-2sigma,3R,21269209,21270075,867,genome
0.5,0.125,FBgn0243448,FBgn0038272,CG7265,CG7265,3R,14892392,14893954,1563,genome
2.5,0.111111111,FBgn0239810,FBgn0037140,CG7442,CG7442,3L,21934704,21938636,3933,genome
0.166666667,0.166666667,FBgn0234675,FBgn0030658,CG7872,CG7872,X,15578205,15579857,1653,genome
0.5,0.5,FBgn0242624,FBgn0260399,CG7719,gwl,3R,18746370,18750360,3991,genome
NA,1,FBgn0227925,FBgn0038214,CG9616,CG9616,3R,14244804,14245471,668,genome
0,0,FBgn0233040,FBgn0086367,CG12120,t,X,9217655,9223257,5603,genome
1,0.333333333,FBgn0242975,FBgn0028708,CG11993,Mst85C,3R,9048645,9052231,3587,genome
0.6,0,FBgn0234416,FBgn0024995,CG2680,CG2680,X,2706151,2707427,1277,genome
0,0,FBgn0243208,FBgn0038017,CG4115,CG4115,3R,12360008,12363255,3248,genome
0.75,0,FBgn0239337,FBgn0036764,CG5535,CG5535,3L,17852624,17856794,4171,genome
0.4,0.090909091,FBgn0068327,FBgn0035154,CG3344,CG3344,3L,685942,687958,2017,genome
0.142857143,0,FBgn0237797,FBgn0035702,CG10147,CG10147,3L,6486167,6488424,2258,genome
0,NA,FBgn0241994,FBgn0037466,CG1965,CG1965,3R,7067401,7071624,4224,genome
0,0,FBgn0230206,FBgn0033735,CG8525,CG8525,2R,12425483,12426975,1493,genome
0,1,FBgn0241764,FBgn0037850,CG14695,CG14695,3R,10878204,10879319,1116,genome
0.375,0.2,FBgn0230561,FBgn0033557,CG12325,CG12325,2R,10823405,10827644,4240,genome
NA,2,FBgn0232911,FBgn0261624,CG42707,I-3,X,20881814,20882626,813,genome
0,0,FBgn0228506,FBgn0027865,CG6120,Tsp96F,3R,25872900,25881427,8528,genome
0.5,0,FBgn0234176,FBgn0024361,CG11415,Tsp2A,X,1346553,1348143,1591,genome
1,0.25,FBgn0231055,FBgn0033818,CG4712,CG4712,2R,13248894,13251724,2831,genome
0.4,0,FBgn0238153,FBgn0036028,CG16717,CG16717,3L,9679201,9681060,1860,genome
0,NA,FBgn0238853,FBgn0040837,CG8620,CG8620,3L,7158099,7158874,776,genome
NA,NA,FBgn0235300,FBgn0030237,CG15209,CG15209,X,10842205,10842995,791,genome
1,4,FBgn0241876,FBgn0014380,CG9366,RhoL,3R,9497101,9502581,5481,genome
1.5,0.25,FBgn0231279,FBgn0033979,CG10243,Cyp6a19,2R,14877786,14879752,1967,genome
0,0,FBgn0228042,FBgn0037375,CG1193,kat-60L1,3R,5781762,5787465,5704,genome
0.4,0.666666667,FBgn0236192,FBgn0032074,CG9494,Tsp29Fa,2L,8933962,8936096,2135,genome
NA,0,FBgn0234796,FBgn0030259,CG1545,CG1545,X,11057545,11059619,2075,genome
0.3,0,FBgn0235700,FBgn0031585,CG2955,CG2955,2L,4149279,4151203,1925,genome
NA,NA,FBgn0239692,FBgn0261341,CG8756,verm,3L,19690033,19695260,5228,genome
1,4,FBgn0233933,FBgn0029766,CG15784,CG15784,X,5429571,5432526,2956,genome
NA,0.5,FBgn0238275,FBgn0035164,CG13901,CG13901,3L,836667,837821,1155,genome
1,0.4,FBgn0231849,FBgn0034173,CG9010,CG9010,2R,16958943,16960195,1253,genome
0.333333333,0.1,FBgn0229978,FBgn0050398,CG30398,CG30398,2R,21717804,21718832,1029,genome
0.5,0,FBgn0236530,FBgn0025360,CG18455,Optix,2R,8031283,8042529,11247,genome
0,0,FBgn0238506,FBgn0052036,CG32036,CG32036,3L,9488050,9489233,1184,genome
0,0.2,FBgn0231620,FBgn0263916,CG31911,Ent2,2L,6562325,6564709,2385,genome
1,1.5,FBgn0231504,FBgn0053453,CG33453,CG33453,2R,19252501,19253228,728,genome
0,0,FBgn0232278,FBgn0031627,CG15630,CG15630,2L,4734592,4794044,59453,genome
0.25,0,FBgn0239578,FBgn0053054,CG33054,CG33054,3L,21197411,21202882,5472,genome
NA,0,FBgn0235037,FBgn0263111,CG43368,cac,X,11931280,11985087,53808,genome
2,1,FBgn0238616,FBgn0028893,CG31819,CG31819,2L,16211459,16213304,1846,genome
1.166666667,0.666666667,FBgn0240803,FBgn0051091,CG31091,CG31091,3R,25899903,25902172,2270,genome
0.333333333,0.25,FBgn0242260,FBgn0024329,CG7717,Mekk1,3R,18733106,18743594,10489,genome
0.125,0.142857143,FBgn0231166,FBgn0033656,CG8988,S2P,2R,11842103,11844240,2138,genome
0.5,4,FBgn0240425,FBgn0033274,CG14757,CG14757,2R,8172364,8173613,1250,genome
0,0,FBgn0236417,FBgn0040228,CG10846,dyn-p25,2L,15005733,15006607,875,genome
1.4,1,FBgn0237043,FBgn0037025,CG11451,Spc105R,3L,20800410,20806853,6444,genome
0.111111111,0.4,FBgn0233802,FBgn0004643,CG9900,Zw10,X,2604197,2606824,2628,genome
0,0,FBgn0230692,FBgn0086779,CG11628,step,2L,21740041,21757466,17426,genome
0.25,0.75,FBgn0235560,FBgn0031414,CG33955,eys,2L,2311680,2358944,47265,genome
3,0,FBgn0236303,FBgn0032231,CG5056,CG5056,2L,10366692,10367946,1255,genome
0.846153846,1.727272727,FBgn0229501,FBgn0034023,CG12960,Ir52a,2R,15499632,15501431,1800,genome
0.846153846,1.727272727,FBgn0229501,FBgn0050468,CG30468,Ir52c,2R,15504201,15506000,1800,genome
0.846153846,1.727272727,FBgn0229501,FBgn0050469,CG30469,Ir52b,2R,15501820,15503610,1791,genome
1,1,FBgn0230442,FBgn0261349,CG42626,Mst36Fb,2L,18673363,18675094,1732,genome
1,1,FBgn0230442,FBgn0263078,CG43339,CG43339,2L,18671604,18673285,1682,genome
1,1,FBgn0230442,FBgn0086681,CG31801,Mst36Fa,2L,18675183,18676998,1816,genome
0,0.5,FBgn0240582,FBgn0039770,CG15537,CG15537,3R,30435177,30443599,8423,genome
0.333333333,0.071428571,FBgn0243334,FBgn0000576,CG2988,ems,3R,13901853,13904620,2768,genome
0,0,FBgn0237418,FBgn0036314,CG10754,CG10754,3L,12813028,12814019,992,genome
2,0.75,FBgn0236646,FBgn0260474,CG30002,CG30002,2R,9704384,9706147,1764,genome
2,0.75,FBgn0236646,FBgn0033439,CG1773,CG1773,2R,9706267,9707580,1314,genome
0,0,FBgn0236762,FBgn0001977,CG4180,CIAPIN1,2L,15036293,15038861,2569,genome
0,0,FBgn0230934,FBgn0032771,CG17349,CG17349,2L,19370445,19372711,2267,genome
0,NA,FBgn0239455,FBgn0036488,CG6878,CG6878,3L,15161817,15162470,654,genome
0,0.083333333,FBgn0229283,FBgn0034982,CG4065,CG4065,2R,24135180,24138050,2871,genome
0,0,FBgn0233303,FBgn0029962,CG1402,CG1402,X,7826197,7842679,16483,genome
1.333333333,NA,FBgn0229390,FBgn0034838,CG12782,CG12782,2R,23264269,23265543,1275,genome
NA,2,FBgn0233669,FBgn0040153,CG32597,l(1)G0469,X,14203961,14211457,7497,genome
0.666666667,0.666666667,FBgn0237672,FBgn0035393,CG16753,CG16753,3L,3055079,3055842,764,genome
0,0.083333333,FBgn0238726,FBgn0027085,CG7479,Aats-leu,3L,4825853,4829038,3186,genome
0,0.166666667,FBgn0236077,FBgn0028541,CG7364,TM9SF4,2L,13746952,13773905,26954,genome
0,0,FBgn0068434,FBgn0039135,CG13603,CG13603,3R,23985213,23986569,1357,genome
0,1,FBgn0229853,FBgn0034475,CG13874,Obp56h,2R,19815554,19816204,651,Obp
0,0.4,FBgn0237297,FBgn0052202,CG32202,CG32202,3L,18682184,18682860,677,genome
0.6,0.4,FBgn0230322,FBgn0042175,CG18858,CG18858,2L,20456847,20459075,2229,genome
0.6,0.4,FBgn0230322,FBgn0051683,CG31683,CG31683,2L,20447734,20449964,2231,genome
5,0.333333333,FBgn0241397,FBgn0053914,CG33914,CG33914,2R,7036768,7039050,2283,genome
0.375,0.428571429,FBgn0241041,FBgn0033185,CG1603,CG1603,2R,7513846,7516390,2545,genome
0,1,FBgn0241647,FBgn0038007,CG10093,Cyp313a3,3R,12237138,12239266,2129,genome
0,1,FBgn0241647,FBgn0038006,CG10094,Cyp313a2,3R,12234980,12236904,1925,genome
0,1,FBgn0241647,FBgn0038236,CG3360,Cyp313a1,3R,14521049,14523064,2016,genome
