seqnames,start,end,length,yak_FB,mel_FB,CG,symbol,DA_yak,DA_san,DS_yak,DS_san,PA_yak,PS_yak,PA_san,PS_san,type
2L,8765273,8768710,3438,FBgn0228626,FBgn0032066,CG9463,CG9463,0,0,0,1,113,172,37,86,genome
X,16896215,16897187,973,FBgn0233615,FBgn0053252,CG33252,CG33252,0,0,0,0,11,12,6,2,genome
X,15220271,15221176,906,FBgn0233615,FBgn0262485,CG43075,CG43075,0,0,0,0,11,12,6,2,genome
X,15205807,15206636,830,FBgn0233615,FBgn0052588,CG32588,CG32588,0,0,0,0,11,12,6,2,genome
X,13669699,13676232,6534,FBgn0234579,FBgn0030508,CG15760,CG15760,0,0,1,4,33,80,8,25,genome
X,11726390,11731765,5376,FBgn0235057,FBgn0085350,CG34321,inaF-C,0,0,0,1,3,14,2,12,genome
3L,2372844,2373704,861,FBgn0238958,FBgn0035335,CG1320,mRpL23,0,0,0,0,3,29,1,4,genome
2L,10435995,10437316,1322,FBgn0236317,FBgn0032250,CG5198,holn1,2,1,1,3,21,10,4,4,genome
3L,3090985,3106958,15974,FBgn0250783,FBgn0035398,CG1869,Cht7,0,1,1,5,21,223,9,55,genome
3L,9494555,9505328,10774,FBgn0238503,FBgn0036007,CG3424,path,0,0,0,0,3,65,0,14,genome
3R,11430061,11430762,702,FBgn0243135,FBgn0037898,CG18643,CG18643,0,0,2,0,10,9,9,5,genome
3R,25850410,25851291,882,FBgn0228507,FBgn0040602,CG14545,CG14545,0,3,0,0,7,28,2,7,genome
2L,20650755,20656178,5424,FBgn0230313,FBgn0261787,CG2478,bru,2,1,8,6,31,48,13,46,genome
2L,8355678,8362469,6792,FBgn0230912,FBgn0032026,CG7627,CG7627,8,8,13,8,79,75,40,42,genome
2L,18997448,19002713,5266,FBgn0230912,FBgn0051792,CG31792,CG31792,8,8,13,8,79,75,40,42,genome
2L,19003367,19008234,4868,FBgn0230912,FBgn0051793,CG31793,CG31793,8,8,13,8,79,75,40,42,genome
2L,20929456,20934113,4658,FBgn0230912,FBgn0032908,CG9270,CG9270,8,8,13,8,79,75,40,42,genome
3R,8364328,8477617,113290,FBgn0241948,FBgn0266801,CG45263,CG45263,0,0,4,2,31,48,13,23,genome
2L,13813816,13819826,6011,FBgn0236085,FBgn0001965,CG7793,Sos,0,0,0,0,48,212,13,86,genome
2R,17877543,17880012,2470,FBgn0231592,FBgn0050325,CG30325,CG30325,2,11,2,2,260,126,115,54,genome
3R,22389780,22392349,2570,FBgn0228167,FBgn0038957,CG7059,CG7059,0,0,0,1,11,30,7,21,genome
3L,12778750,12781097,2348,FBgn0237420,FBgn0036310,CG10969,CG10969,1,0,0,0,153,113,74,61,genome
2R,24757378,24760466,3089,FBgn0232044,FBgn0035056,CG9196,spz6,0,0,0,0,19,54,6,19,genome
2R,18299317,18300072,756,FBgn0229728,FBgn0034326,CG18540,CG18540,0,7,0,0,14,28,4,4,genome
2L,5288944,5311223,22280,FBgn0242457,FBgn0016076,CG14029,vri,0,2,1,2,27,94,12,25,genome
2R,5795413,5796710,1298,FBgn0232868,FBgn0033042,CG14468,Tsp42A,1,1,1,6,3,5,1,2,genome
3L,18154897,18162522,7626,FBgn0239317,FBgn0036781,CG13699,CG13699,1,0,0,1,142,184,43,80,genome
2R,9395330,9396206,877,FBgn0239558,FBgn0033408,CG8800,CG8800,0,0,0,0,2,7,0,4,genome
3R,14314854,14315716,863,FBgn0241360,FBgn0013767,CG3302,Crz,0,0,0,0,19,24,11,23,genome
3L,14801328,14802168,841,FBgn0068118,FBgn0029148,CG5258,NHP2,0,0,0,0,6,23,2,7,genome
2L,6625138,6632407,7270,FBgn0235842,FBgn0051634,CG31634,Oatp26F,0,1,0,0,71,102,11,32,genome
X,11483518,11485060,1543,FBgn0233497,FBgn0030305,CG1749,CG1749,1,2,2,2,16,24,2,6,genome
X,2182818,2184668,1851,FBgn0234458,FBgn0023542,CG3460,Nmd3,0,0,5,6,10,36,3,9,genome
3R,27251112,27256463,5352,FBgn0240884,FBgn0011289,CG5930,TfIIA-L,0,0,0,0,2,50,3,18,genome
X,6969918,6972265,2348,FBgn0233260,FBgn0029924,CG4586,CG4586,0,0,3,1,42,122,10,34,genome
2L,8998537,8999816,1280,FBgn0236205,FBgn0015316,CG9564,Try29F,0,0,1,1,26,26,7,15,genome
3L,16610662,16612199,1538,FBgn0239431,FBgn0004465,CG4086,Su(P),0,0,1,0,23,32,10,19,genome
3R,29556386,29565244,8859,FBgn0241008,FBgn0000492,CG1897,Dr,0,0,0,1,21,71,2,29,genome
2R,8455909,8457892,1984,FBgn0240194,FBgn0002571,CG8695,Mal-A3,0,0,2,1,8,39,4,30,genome
3R,27913777,27916516,2740,FBgn0228391,FBgn0039554,CG5003,CG5003,0,1,5,0,40,110,10,50,genome
2R,24126638,24133551,6914,FBgn0229284,FBgn0041582,CG4057,tamo,1,2,1,11,57,123,11,18,genome
3R,6361672,6368288,6617,FBgn0241242,FBgn0261641,CG42724,CG42724,1,0,1,0,31,118,17,52,genome
2R,16792642,16793179,538,FBgn0229611,FBgn0040743,CG15919,CG15919,0,0,0,0,16,15,6,7,genome
2R,23713900,23734846,20947,FBgn0231935,FBgn0034897,CG11299,Sesn,0,0,0,0,10,47,4,24,genome
2L,4969004,4970216,1213,FBgn0229090,FBgn0031657,CG3756,CG3756,0,1,0,1,3,30,3,7,genome
2R,19680768,19681391,624,FBgn0231482,FBgn0040730,CG15127,CG15127,0,0,0,0,3,11,2,8,genome
3L,909112,912319,3208,FBgn0238389,FBgn0028999,CG13906,nerfin-1,0,1,0,0,36,84,15,32,genome
2L,10982205,10987420,5216,FBgn0230809,FBgn0004872,CG6122,piwi,2,1,3,3,30,86,12,28,genome
3R,25483098,25485855,2758,FBgn0240777,FBgn0039339,CG5116,CG5116,0,0,1,2,61,99,11,23,genome
X,4218170,4223331,5162,FBgn0233865,FBgn0029697,CG15570,CG15570,0,7,11,6,17,27,5,12,genome
X,307684,308935,1252,FBgn0234111,FBgn0040371,CG12470,CG12470,0,0,1,1,1,10,0,0,genome
2L,18711071,18713748,2678,FBgn0230435,FBgn0032706,CG10369,Irk3,7,4,5,7,22,15,8,23,genome
3L,15300915,15302785,1871,FBgn0237184,FBgn0036492,CG12327,Best3,2,0,0,0,15,92,11,44,genome
3R,12855544,12859246,3703,FBgn0241596,FBgn0038088,CG10126,CG10126,0,0,0,1,4,22,4,12,genome
3R,5660635,5665169,4535,FBgn0228033,FBgn0046222,CG1109,CG1109,0,0,0,1,8,86,4,45,genome
2L,7827650,7833576,5927,FBgn0232234,FBgn0004177,CG7109,mts,0,0,0,0,0,29,0,4,genome
2R,23271257,23275536,4280,FBgn0229389,FBgn0003009,CG3134,ord,1,2,0,2,52,84,28,26,genome
3R,19847311,19854403,7093,FBgn0242690,FBgn0038735,CG4662,CG4662,1,1,8,4,3,7,2,13,genome
X,10084914,10086171,1258,FBgn0232993,FBgn0030178,CG2974,CG2974,0,1,0,2,18,47,6,12,genome
3L,19978713,19979812,1100,FBgn0239672,FBgn0036922,CG14182,CG14182,0,0,0,0,0,0,0,0,genome
X,6219957,6222719,2763,FBgn0234229,FBgn0029849,CG3774,Efr,1,1,2,1,6,14,1,1,genome
X,4549883,4551878,1996,FBgn0234343,FBgn0029713,CG11436,CG11436,0,0,2,2,9,13,1,4,genome
3R,15962167,15963867,1701,FBgn0243373,FBgn0038388,CG4287,CG4287,1,1,3,1,25,31,8,18,genome
2R,24664398,24665439,1042,FBgn0068325,FBgn0035046,CG3683,NDUFA8,1,0,0,1,13,24,4,13,genome
3L,877291,882013,4723,FBgn0238272,FBgn0035173,CG13907,CG13907,0,1,0,0,13,174,3,40,genome
2R,6026273,6036388,10116,FBgn0236775,FBgn0033052,CG33131,SCAP,5,0,16,10,9,12,4,20,genome
2R,17432173,17444938,12766,FBgn0231816,FBgn0027506,CG6542,EDTP,0,0,0,2,22,110,4,35,genome
X,20449331,20467065,17735,FBgn0235323,FBgn0052506,CG32506,CG32506,1,0,1,1,39,140,17,42,genome
2L,11934505,11935716,1212,FBgn0235960,FBgn0026392,CG16960,Or33a,0,0,0,0,69,49,27,19,Or
2L,11936181,11937501,1321,FBgn0235960,FBgn0026391,CG16961,Or33b,0,0,0,0,69,49,27,19,Or
2R,6741899,6746141,4243,FBgn0236434,FBgn0028579,CG3268,phtf,1,1,3,4,42,91,18,43,genome
3L,18917581,18919259,1679,FBgn0236920,FBgn0036831,CG6839,CG6839,0,1,0,1,10,32,7,9,genome
3L,6958346,6959586,1241,FBgn0238839,FBgn0029117,CG9943,Surf1,0,0,0,0,55,65,8,29,genome
2L,20752476,20754655,2180,FBgn0230094,FBgn0032882,CG9320,Ns4,0,0,0,0,26,94,6,42,genome
2R,8167948,8170089,2142,FBgn0236541,FBgn0033273,CG2183,Gasz,3,6,3,2,22,20,9,14,genome
3L,7651180,7651900,721,FBgn0067441,FBgn0035806,CG7496,PGRP-SD,0,0,0,0,30,23,18,15,genome
2L,3068345,3144786,76442,FBgn0232530,FBgn0015600,CG9660,toc,0,1,0,0,192,327,95,150,genome
3L,8320763,8322280,1518,FBgn0238031,FBgn0035873,CG13670,CG13670,0,0,0,0,51,29,14,20,genome
3R,25243039,25245057,2019,FBgn0086004,FBgn0000158,CG10422,bam,9,8,3,6,31,60,3,9,genome
3L,16326057,16326762,706,FBgn0239785,FBgn0036609,CG13039,CG13039,0,1,0,0,1,1,0,0,genome
2L,1784062,1785286,1225,FBgn0235193,FBgn0045497,CG31936,Gr22e,0,0,0,0,11,18,11,10,Gr
2L,1789141,1790361,1221,FBgn0235193,FBgn0045498,CG31930,Gr22d,0,0,0,0,11,18,11,10,Gr
2R,13198850,13202709,3860,FBgn0068538,FBgn0027079,CG4062,Aats-val,0,0,0,2,36,95,14,70,genome
2R,19951345,19951950,606,FBgn0229857,FBgn0034478,CG10822,CG10822,0,0,0,0,3,11,3,4,genome
X,9030205,9054575,24371,FBgn0233379,FBgn0259734,CG42388,CG42388,0,1,0,1,27,95,7,40,genome
2R,16277685,16278396,712,FBgn0231704,FBgn0024249,CG7760,cato,0,0,0,1,27,35,4,15,genome
2L,2669823,2672186,2364,FBgn0235603,FBgn0041248,CG15396,Gr23a,0,3,1,0,32,69,13,36,Gr
2R,9842686,9845512,2827,FBgn0236657,FBgn0033453,CG1667,CG1667,3,5,2,2,13,24,7,9,genome
X,17848110,17850342,2233,FBgn0233140,FBgn0030873,CG15814,CG15814,0,0,0,1,2,43,0,14,genome
3R,9740899,9742844,1946,FBgn0243024,FBgn0037737,CG8383,Pnn,0,0,2,1,3,12,0,5,genome
2L,8512174,8514868,2695,FBgn0228737,FBgn0032051,CG13097,CG13097,0,0,0,1,73,77,21,41,genome
2R,14503958,14512493,8536,FBgn0231256,FBgn0261823,CG8787,Asx,0,4,2,8,50,99,1,4,genome
3L,11691571,11692757,1187,FBgn0239082,FBgn0036193,CG14135,CG14135,1,2,0,3,48,29,20,13,genome
2L,5892883,5893896,1014,FBgn0020665,FBgn0002855,CG8982,Acp26Aa,1,2,0,1,45,16,8,7,genome
2R,13513132,13534251,21120,FBgn0231035,FBgn0260964,CG33528,Vmat,1,0,0,0,75,6,29,2,genome
3L,6491230,6495297,4068,FBgn0237796,FBgn0035704,CG10144,CG10144,1,0,1,7,79,243,21,119,genome
2L,5327975,5328879,905,FBgn0068431,FBgn0031700,CG14022,CG14022,0,0,0,0,0,14,0,5,genome
2R,14215096,14216627,1532,FBgn0068221,FBgn0033912,CG8415,RpS23,0,0,0,0,0,11,0,2,genome
2R,12410079,12410696,618,FBgn0230201,FBgn0053626,CG33626,CG33626,0,2,0,1,11,19,4,10,genome
2L,11011312,11012135,824,FBgn0068007,FBgn0250837,CG4584,dUTPase,0,0,0,0,8,45,1,14,genome
2R,21384552,21386221,1670,FBgn0231369,FBgn0034627,CG9841,EfSec,0,1,0,1,85,87,13,14,genome
2R,21674901,21685000,10100,FBgn0229973,FBgn0050263,CG30263,stum,0,4,0,5,225,301,83,101,genome
3L,13377987,13380380,2394,FBgn0239198,FBgn0036350,CG14111,CG14111,0,1,0,0,84,53,33,29,genome
X,8137041,8142279,5239,FBgn0234944,FBgn0025800,CG2262,Smox,0,0,3,1,1,46,0,7,genome
3R,19616024,19632718,16695,FBgn0242208,FBgn0038720,CG6231,CG6231,0,0,0,0,0,1,0,0,genome
3R,15986152,16004081,17930,FBgn0241478,FBgn0003507,CG3992,srp,0,1,2,2,30,72,6,25,genome
2L,22108964,22110449,1486,FBgn0230681,FBgn0032973,CG6675,CG6675,3,1,2,1,8,3,5,2,genome
3R,12963791,12965923,2133,FBgn0243258,FBgn0038095,CG7241,Cyp304a1,0,1,1,2,34,54,17,27,genome
X,12628370,12629640,1271,FBgn0233746,FBgn0030410,CG15727,Aven,1,1,1,2,21,44,2,8,genome
X,19676061,19683518,7458,FBgn0234832,FBgn0043903,CG14226,dome,1,6,4,11,32,143,8,10,genome
X,13676894,13677882,989,FBgn0234580,FBgn0030509,CG11162,CG11162,0,1,0,0,20,36,3,8,genome
X,15113302,15116542,3241,FBgn0233618,FBgn0030615,CG9081,Cyp4s3,0,1,1,1,13,74,8,21,genome
3L,3071133,3090406,19274,FBgn0237673,FBgn0035397,CG11486,CG11486,0,1,0,4,19,89,5,9,genome
2L,6069790,6070686,897,FBgn0236318,FBgn0031777,CG9154,CG9154,2,0,0,0,14,23,7,5,genome
2L,20643351,20645791,2441,FBgn0230314,FBgn0016054,CG2488,phr6-4,0,0,1,1,27,21,11,11,genome
X,11724668,11729099,4432,FBgn0235058,FBgn0260812,CG42563,inaF-D,0,0,0,1,4,34,3,11,genome
3R,24390592,24391870,1279,FBgn0240664,FBgn0039199,CG13615,CG13615,1,3,0,1,47,76,23,31,genome
3L,18821171,18822353,1183,FBgn0237301,FBgn0036815,CG6874,HipHop,2,1,2,0,15,42,5,6,genome
2L,4444732,4446765,2034,FBgn0235716,FBgn0031604,CG15433,Elp3,0,0,1,3,6,63,2,30,genome
2R,17866178,17872015,5838,FBgn0231593,FBgn0034282,CG5784,Mapmodulin,0,0,0,0,17,33,3,4,genome
3L,4697601,4698058,458,FBgn0238723,FBgn0042199,CG13713,CG13713,0,0,0,0,9,14,2,5,genome
3L,9638112,9639021,910,FBgn0238150,FBgn0036022,CG8329,CG8329,0,3,0,1,12,54,2,15,genome
3L,9639271,9640140,870,FBgn0238150,FBgn0036023,CG18179,CG18179,0,3,0,1,12,54,2,15,genome
3L,9641013,9641913,901,FBgn0238150,FBgn0036024,CG18180,CG18180,0,3,0,1,12,54,2,15,genome
2L,10856797,10858094,1298,FBgn0230913,FBgn0024227,CG6620,ial,0,0,0,0,4,60,3,29,genome
2L,10317497,10323102,5606,FBgn0243136,FBgn0032218,CG5381,CG5381,0,2,0,0,93,57,17,18,genome
3R,18081048,18082583,1536,FBgn0242576,FBgn0038566,CG14317,CG14317,0,0,6,1,2,5,4,15,genome
X,15844476,15847858,3383,FBgn0234706,FBgn0030699,CG8578,CG8578,0,0,0,1,1,24,1,8,genome
3R,29863701,29868895,5195,FBgn0228280,FBgn0039714,CG7816,Zip99C,0,0,0,2,5,50,2,9,genome
2R,24760664,24762605,1942,FBgn0232046,FBgn0035057,CG3880,CG3880,0,1,0,2,28,53,10,19,genome
3R,17796376,17798304,1929,FBgn0242331,FBgn0038546,CG7379,CG7379,2,2,2,1,1,8,1,6,genome
3R,17128212,17129120,909,FBgn0241724,FBgn0051265,CG31265,CG31265,2,1,0,0,7,17,6,7,genome
3R,8324316,8325036,721,FBgn0242920,FBgn0037577,CG7443,CG7443,5,0,0,0,19,13,12,6,genome
3R,8008249,8009297,1049,FBgn0242808,FBgn0040524,CG11052,CG11052,0,0,1,1,2,2,1,3,genome
X,11485250,11486566,1317,FBgn0233498,FBgn0030306,CG1751,Spase25,0,0,1,2,0,21,0,2,genome
3L,4496883,4497777,895,FBgn0237916,FBgn0035554,CG13721,CG13721,0,0,0,0,7,14,2,9,genome
X,6986486,6987188,703,FBgn0233261,FBgn0261284,CG14430,bou,0,0,0,0,4,17,4,4,genome
3R,21397781,21399742,1962,FBgn0242072,FBgn0038886,CG6475,CG6475,9,4,11,8,33,23,17,12,genome
3R,23123962,23126422,2461,FBgn0241125,FBgn0051365,CG31365,CG31365,0,0,0,2,39,108,15,58,genome
3L,2367843,2371939,4097,FBgn0238959,FBgn0035333,CG1317,CG1317,0,1,3,3,26,190,10,47,genome
X,2173415,2175315,1901,FBgn0234459,FBgn0023541,CG3540,Cyp4d14,0,1,3,8,22,49,5,5,genome
2L,6617134,6621700,4567,FBgn0235843,FBgn0031837,CG11320,CG11320,0,0,2,0,27,48,7,17,genome
3R,9788852,9791221,2370,FBgn0241832,FBgn0037755,CG12945,CG12945,10,3,5,2,13,17,8,2,genome
3R,22402655,22405059,2405,FBgn0228168,FBgn0038959,CG13856,CG13856,0,0,0,0,17,21,9,9,genome
2L,13821248,13823979,2732,FBgn0236086,FBgn0000153,CG7811,b,0,0,0,0,24,70,6,18,genome
2R,24123167,24126630,3464,FBgn0229285,FBgn0264298,CG43776,CG43776,5,2,1,1,30,5,9,3,genome
2R,24123167,24126630,3464,FBgn0229285,FBgn0264297,CG43775,CG43775,5,2,1,1,30,5,9,3,genome
2R,16816589,16817577,989,FBgn0229612,FBgn0034160,CG5550,CG5550,0,1,0,0,19,46,12,20,genome
3L,9489502,9492215,2714,FBgn0238504,FBgn0052037,CG32037,CG32037,0,0,0,2,15,28,1,7,genome
2L,9012188,9014149,1962,FBgn0236206,FBgn0032088,CG13102,CG13102,0,0,0,1,10,15,1,4,genome
3L,18128940,18132689,3750,FBgn0239318,FBgn0036778,CG5137,Cyp312a1,0,1,1,1,21,91,12,38,genome
2L,16488148,16490182,2035,FBgn0230810,FBgn0032585,CG4580,CG4580,6,4,4,3,28,11,28,14,genome
2R,10648888,10649830,943,FBgn0230550,FBgn0033541,CG12934,CG12934,6,3,1,3,15,2,19,10,genome
3L,16609400,16610418,1019,FBgn0239432,FBgn0002284,CG4097,Prosbeta6,0,0,0,1,6,30,3,11,genome
2R,12154258,12162998,8741,FBgn0231142,FBgn0033688,CG8877,Prp8,0,0,1,4,6,282,0,93,genome
X,4247313,4247785,473,FBgn0233866,FBgn0262608,CG43134,CG43134,2,1,0,1,2,0,0,0,genome
2L,4973976,4975316,1341,FBgn0229095,FBgn0031660,CG3782,mRpL28,2,0,0,0,5,26,3,12,genome
3R,30695537,30697138,1602,FBgn0240558,FBgn0000274,CG12066,Pka-C2,0,0,0,0,1,34,1,27,genome
2L,1975463,1980755,5293,FBgn0232869,FBgn0031377,CG15356,CG15356,0,4,1,8,77,121,22,43,genome
2R,23264269,23265543,1275,FBgn0229390,FBgn0034838,CG12782,CG12782,0,3,0,0,52,49,36,15,genome
3L,21420388,21433134,12747,FBgn0239559,FBgn0037081,CG6049,barc,0,1,2,3,55,42,11,18,genome
2L,15705171,15706220,1050,FBgn0238390,FBgn0051827,CG31827,CG31827,1,5,0,1,2,4,6,4,genome
2L,15670174,15671223,1050,FBgn0238390,FBgn0028517,CG18478,CG18478,1,5,0,1,2,4,6,4,genome
3L,12773951,12778716,4766,FBgn0237421,FBgn0052106,CG32106,CG32106,4,2,0,2,539,158,248,104,genome
X,6349324,6350401,1078,FBgn0068326,FBgn0029868,CG3446,CG3446,0,0,0,1,2,8,0,0,genome
2R,8449664,8451904,2241,FBgn0240205,FBgn0002570,CG8696,Mal-A1,1,2,4,1,12,49,14,21,genome
2L,143323,144227,905,FBgn0234112,FBgn0031224,CG11454,CG11454,0,4,1,1,10,10,2,5,genome
2L,18706010,18708688,2679,FBgn0230436,FBgn0025608,CG10372,Faf,2,1,3,2,9,9,3,15,genome
3R,8359958,8362554,2597,FBgn0241950,FBgn0037583,CG9684,CG9684,5,12,7,8,56,27,23,16,genome
3L,25107594,25115180,7587,FBgn0242460,FBgn0040022,CG40351,Set1,6,9,6,5,6,8,3,0,genome
2R,17429353,17430963,1611,FBgn0231817,FBgn0025716,CG6546,Bap55,0,0,0,1,8,60,1,29,genome
3L,15160876,15163628,2753,FBgn0237186,FBgn0036489,CG7011,CG7011,0,1,1,3,4,65,3,11,genome
X,20467455,20469796,2342,FBgn0235324,FBgn0031117,CG1702,GstT3,0,0,0,1,9,25,7,12,genome
2L,7840452,7841262,811,FBgn0232236,FBgn0031954,CG14537,CG14537,1,0,0,0,25,29,14,23,genome
3L,11121966,11123216,1251,FBgn0237553,FBgn0036136,CG6233,Ufd1-like,0,0,2,1,6,61,0,16,genome
X,6274972,6276724,1753,FBgn0233994,FBgn0029854,CG3566,CG3566,1,0,1,1,1,5,1,1,genome
3R,27871501,27872390,890,FBgn0228393,FBgn0039552,CG12426,CG12426,0,0,0,0,5,10,1,5,genome
2R,6020311,6023144,2834,FBgn0236776,FBgn0033051,CG7863,dream,3,3,6,6,7,5,6,1,genome
3R,14316038,14320494,4457,FBgn0241361,FBgn0011474,CG3307,pr-set7,0,0,0,0,31,85,11,34,genome
3R,29591831,29617157,25327,FBgn0241009,FBgn0086361,CG1906,alph,0,0,1,2,1,39,0,5,genome
X,4544617,4548794,4178,FBgn0234344,FBgn0029711,CG17592,Usf,2,6,4,8,6,11,2,2,genome
3L,19951954,19952790,837,FBgn0239673,FBgn0053710,CG33710,CG33710,2,0,0,0,4,18,6,6,genome
3R,27265457,27266423,967,FBgn0240885,FBgn0039504,CG14260,CG14260,0,1,0,1,46,40,18,19,genome
2L,6372388,6377284,4897,FBgn0231483,FBgn0043854,CG9506,slam,0,1,0,0,79,221,50,145,genome
3L,20991673,20992930,1258,FBgn0237055,FBgn0037042,CG12984,CG12984,2,1,0,0,10,22,3,3,genome
2R,14514030,14514992,963,FBgn0231257,FBgn0050197,CG30197,CG30197,0,0,0,1,3,11,0,0,genome
X,11561643,11562779,1137,FBgn0067442,FBgn0030310,CG11709,PGRP-SA,0,1,0,1,4,16,1,5,genome
2L,20758144,20768053,9910,FBgn0230095,FBgn0011202,CG1768,dia,0,0,0,0,13,203,6,78,genome
2R,19979242,19984895,5654,FBgn0229858,FBgn0034479,CG8654,CG8654,0,1,0,0,25,78,8,35,genome
3R,6345000,6345911,912,FBgn0241244,FBgn0261789,CG1249,SmD2,0,0,0,0,0,23,0,13,genome
X,10071858,10082492,10635,FBgn0232994,FBgn0052685,CG32685,ZAP3,3,10,5,5,123,153,30,43,genome
2R,13495222,13502841,7620,FBgn0231036,FBgn0004638,CG6033,drk,0,0,0,1,0,6,0,4,genome
3L,3303708,3314009,10302,FBgn0238612,FBgn0035432,CG17723,ZnT63C,0,1,0,2,18,82,4,34,genome
2R,16570112,16571230,1119,FBgn0068222,FBgn0034138,CG8332,RpS15,0,0,0,0,0,12,0,4,genome
3R,8990645,8992949,2305,FBgn0250858,FBgn0260243,CG11971,E(var)3-9,4,3,2,2,43,26,15,13,genome
3R,19861610,19862600,991,FBgn0242691,FBgn0038737,CG11447,CG11447,2,0,2,0,3,5,7,6,genome
3L,6969658,6971666,2009,FBgn0238840,FBgn0035726,CG9953,CG9953,0,0,0,0,40,109,16,66,genome
2L,15433309,15435304,1996,FBgn0238273,FBgn0028892,CG4161,CG4161,1,0,6,0,5,12,7,31,genome
2L,3038826,3039812,987,FBgn0232536,FBgn0243513,CG17262,cnir,0,0,0,0,7,26,0,22,genome
2L,11937969,11939202,1234,FBgn0235962,FBgn0026390,CG5006,Or33c,0,0,0,0,45,51,24,21,Or
X,9081063,9082746,1684,FBgn0233380,FBgn0030082,CG7041,HP1b,0,1,0,2,7,24,4,7,genome
2R,6746381,6748954,2574,FBgn0236435,FBgn0042083,CG3267,CG3267,0,0,6,5,25,60,11,33,genome
X,3134870,3172221,37352,FBgn0068119,FBgn0004647,CG3936,N,4,1,22,15,7,99,6,23,genome
X,6225647,6236218,10572,FBgn0234230,FBgn0262730,CG14446,CG14446,1,0,12,4,17,92,2,28,genome
2R,21383227,21384391,1165,FBgn0231370,FBgn0034626,CG10795,CG10795,0,0,0,1,11,27,4,7,genome
2L,12103751,12107170,3420,FBgn0068539,FBgn0027081,CG5353,Aats-thr,0,0,0,0,10,93,4,40,genome
3L,18950629,18955406,4778,FBgn0236921,FBgn0036834,CG6836,CG6836,0,3,1,0,14,22,6,13,genome
X,8121280,8135713,14434,FBgn0234945,FBgn0030001,CG15335,cyr,0,0,0,1,20,54,5,23,genome
2R,8170274,8172401,2128,FBgn0236542,FBgn0011659,CG11482,Mlh1,1,1,9,6,24,45,9,17,genome
3L,16325083,16326757,1675,FBgn0239786,FBgn0036608,CG13040,CG13040,0,0,0,0,5,1,1,0,genome
3R,12840560,12848419,7860,FBgn0241597,FBgn0038087,CG10134,beat-Va,1,0,2,1,4,22,0,9,genome
2R,12411011,12411678,668,FBgn0230202,FBgn0053627,CG33627,CG33627,0,2,1,1,9,25,8,5,genome
2R,16266960,16271971,5012,FBgn0231705,FBgn0001308,CG7765,Khc,0,0,0,2,4,151,1,47,genome
X,17843343,17844704,1362,FBgn0233141,FBgn0030871,CG8142,CG8142,1,0,0,0,15,68,6,19,genome
3L,11708979,11710570,1592,FBgn0239083,FBgn0261381,CG42631,mtTFB1,0,0,0,0,10,42,8,25,genome
3R,25491460,25493262,1803,FBgn0240778,FBgn0039341,CG5112,CG5112,0,2,1,4,47,93,5,2,genome
X,18806694,18812002,5309,FBgn0235194,FBgn0030961,CG7058,CG7058,0,0,3,2,26,142,16,66,genome
3L,8912499,8932065,19567,FBgn0068008,FBgn0035936,CG4999,Tsp66E,0,0,0,0,5,37,4,12,genome
2R,9848061,9850642,2582,FBgn0236658,FBgn0033454,CG1671,CG1671,5,1,6,7,18,22,9,17,genome
2R,21688773,21690253,1481,FBgn0229974,FBgn0034655,CG10307,CG10307,0,2,0,0,13,33,14,15,genome
3R,5669713,5679930,10218,FBgn0228034,FBgn0037363,CG1347,Atg17,1,1,5,5,34,131,14,46,genome
3L,8328583,8330237,1655,FBgn0238032,FBgn0085491,CG34462,CG34462,0,0,0,0,58,40,32,27,genome
2R,9092506,9094658,2153,FBgn0068432,FBgn0033374,CG13741,CG13741,4,8,4,2,17,3,11,3,genome
2L,20642306,20643244,939,FBgn0230315,FBgn0032869,CG17470,CG17470,1,1,3,0,6,11,2,7,genome
2R,15499632,15501431,1800,FBgn0229501,FBgn0034023,CG12960,Ir52a,0,4,1,1,119,104,24,39,genome
2R,15504201,15506000,1800,FBgn0229501,FBgn0050468,CG30468,Ir52c,0,4,1,1,119,104,24,39,genome
2R,15501820,15503610,1791,FBgn0229501,FBgn0050469,CG30469,Ir52b,0,4,1,1,119,104,24,39,genome
3R,24635270,24650043,14774,FBgn0228627,FBgn0039214,CG5794,puf,1,0,2,2,94,624,31,274,genome
X,19672312,19675891,3580,FBgn0234833,FBgn0031055,CG14225,et,7,16,1,3,75,56,13,6,genome
X,15095458,15096042,585,FBgn0233619,FBgn0030614,CG9072,CG9072,0,0,1,3,5,15,3,3,genome
2L,320279,321248,970,FBgn0233747,FBgn0031249,CG11911,CG11911,2,11,2,7,13,9,1,0,genome
3L,16126018,16128531,2514,FBgn0020944,FBgn0003076,CG5165,Pgm,1,0,4,6,12,22,5,10,genome
X,13682952,13684616,1665,FBgn0234581,FBgn0030511,CG11158,CG11158,0,0,1,1,21,39,6,20,genome
2L,6067668,6068594,927,FBgn0236319,FBgn0031775,CG9150,CG9150,0,0,0,0,20,20,1,8,genome
3L,13382765,13383999,1235,FBgn0239199,FBgn0001256,CG10717,ImpL1,0,1,0,0,68,62,13,34,genome
2L,10013227,10017463,4237,FBgn0227921,FBgn0032175,CG13131,CG13131,2,2,2,1,384,158,212,85,genome
2R,24763167,24766750,3584,FBgn0232047,FBgn0035059,CG3894,CG3894,1,0,1,2,14,49,3,19,genome
